handle,display_name,followers,category
VitalikButerin,Vitalik Buterin,5200000,DeFi
cz_binance,CZ,9000000,DeFi
saylor,Michael Saylor,3500000,DeFi
balajis,Balaji,1800000,DeFi
naval,Naval,2400000,DeFi
aeyakovenko,Anatoly,500000,DeFi
0xMert_,Mert,400000,DeFi
0xPolygon,Polygon,3100000,DeFi
StaniKulechov,Stani Kulechov,400000,DeFi
LefterisJP,Lefteris,80000,DeFi
shawmakesmagic,Shaw,200000,AIAgent
ai16zdao,a16z dao,300000,AIAgent
elonmusk,Elon Musk,200000000,AIAgent
sama,Sam Altman,3500000,AIAgent
karpathy,Andrej Karpathy,1100000,AIAgent
ylecun,Yann LeCun,600000,AIAgent
DrJimFan,Jim Fan,300000,AIAgent
miramurati,Mira Murati,200000,AIAgent
goodside,Riley Goodside,200000,AIAgent
swyx,swyx,100000,AIAgent
shopify,Shopify,1200000,Ecommerce
levelsio,levelsio,500000,Ecommerce
dharmesh,Dharmesh,250000,Ecommerce
LiderbasGER,Web3 Commerce,40000,Ecommerce
SolanaMobile,Solana Mobile,400000,Ecommerce
LidoFinance,Lido,500000,Staking
RocketPool,Rocket Pool,300000,Staking
eigenlayer,EigenLayer,400000,Staking
ether_fi,ether.fi,300000,Staking
puffer_finance,Puffer,150000,Staking
